FID IID SEX AFF PC1 PC2 Population
HG01079 HG01079 0 1 -0.0029 0.0165 PUR
HG01080 HG01080 0 1 -0.0069 0.0164 PUR
HG01082 HG01082 0 1 -0.0013 0.0148 PUR
HG01083 HG01083 0 1 -0.0061 0.0187 PUR
HG01085 HG01085 0 1 -0.0055 0.0177 PUR
HG01086 HG01086 0 1 -0.0049 0.0157 PUR
HG01088 HG01088 0 1 -0.0023 0.0172 PUR
HG01089 HG01089 0 1 -0.0037 0.0163 PUR
HG01092 HG01092 0 1 0.0004 0.0143 PUR
HG01094 HG01094 0 1 -0.0046 0.0182 PUR
HG01095 HG01095 0 1 -0.0057 0.0189 PUR
HG01097 HG01097 0 1 -0.0068 0.0186 PUR
HG01098 HG01098 0 1 -0.0061 0.0191 PUR
HG01101 HG01101 0 1 -0.0044 0.0159 PUR
HG01102 HG01102 0 1 -0.0028 0.0171 PUR
HG01104 HG01104 0 1 -0.0068 0.0191 PUR
HG01105 HG01105 0 1 -0.0067 0.0219 PUR
HG01107 HG01107 0 1 -0.0002 0.0160 PUR
HG01110 HG01110 0 1 -0.0049 0.0171 PUR
HG01111 HG01111 0 1 -0.0061 0.0176 PUR
HG01112 HG01112 0 1 -0.0091 0.0248 CLM
HG01113 HG01113 0 1 -0.0113 0.0155 CLM
HG01119 HG01119 0 1 -0.0095 0.0225 CLM
HG01121 HG01121 0 1 -0.0099 0.0135 CLM
HG01122 HG01122 0 1 -0.0080 0.0175 CLM
HG01124 HG01124 0 1 -0.0052 0.0109 CLM
HG01125 HG01125 0 1 -0.0069 0.0134 CLM
HG01130 HG01130 0 1 -0.0083 0.0157 CLM
HG01131 HG01131 0 1 -0.0085 0.0159 CLM
HG01133 HG01133 0 1 -0.0099 0.0209 CLM
HG01134 HG01134 0 1 -0.0058 0.0146 CLM
HG01136 HG01136 0 1 -0.0074 0.0131 CLM
HG01137 HG01137 0 1 -0.0109 0.0131 CLM
HG01139 HG01139 0 1 -0.0037 0.0099 CLM
HG01140 HG01140 0 1 -0.0096 0.0158 CLM
HG01142 HG01142 0 1 -0.0033 0.0068 CLM
HG01149 HG01149 0 1 -0.0084 0.0062 CLM
HG01161 HG01161 0 1 -0.0025 0.0149 PUR
HG01162 HG01162 0 1 -0.0062 0.0181 PUR
HG01164 HG01164 0 1 -0.0058 0.0202 PUR
HG01167 HG01167 0 1 -0.0005 0.0143 PUR
HG01168 HG01168 0 1 -0.0088 0.0238 PUR
HG01170 HG01170 0 1 -0.0053 0.0172 PUR
HG01171 HG01171 0 1 -0.0021 0.0155 PUR
HG01173 HG01173 0 1 -0.0069 0.0221 PUR
HG01174 HG01174 0 1 -0.0082 0.0204 PUR
HG01176 HG01176 0 1 -0.0068 0.0180 PUR
HG01177 HG01177 0 1 -0.0081 0.0173 PUR
HG01182 HG01182 0 1 -0.0047 0.0165 PUR
HG01183 HG01183 0 1 -0.0051 0.0165 PUR
HG01187 HG01187 0 1 -0.0037 0.0109 PUR
HG01188 HG01188 0 1 -0.0016 0.0115 PUR
HG01190 HG01190 0 1 -0.0041 0.0132 PUR
HG01191 HG01191 0 1 -0.0067 0.0163 PUR
HG01197 HG01197 0 1 -0.0079 0.0202 PUR
HG01200 HG01200 0 1 -0.0084 0.0225 PUR
HG01204 HG01204 0 1 -0.0062 0.0176 PUR
HG01205 HG01205 0 1 -0.0054 0.0190 PUR
HG01247 HG01247 0 1 -0.0018 0.0134 PUR
HG01248 HG01248 0 1 -0.0056 0.0191 PUR
HG01250 HG01250 0 1 -0.0082 0.0120 CLM
HG01251 HG01251 0 1 -0.0106 0.0165 CLM
HG01253 HG01253 0 1 -0.0094 0.0170 CLM
HG01254 HG01254 0 1 -0.0041 0.0097 CLM
HG01256 HG01256 0 1 -0.0104 0.0206 CLM
HG01257 HG01257 0 1 -0.0110 0.0158 CLM
HG01259 HG01259 0 1 -0.0094 0.0218 CLM
HG01260 HG01260 0 1 -0.0057 0.0110 CLM
HG01269 HG01269 0 1 -0.0084 0.0147 CLM
HG01271 HG01271 0 1 -0.0078 0.0143 CLM
HG01272 HG01272 0 1 -0.0036 0.0084 CLM
HG01277 HG01277 0 1 -0.0115 0.0123 CLM
HG01280 HG01280 0 1 -0.0105 0.0161 CLM
HG01281 HG01281 0 1 -0.0104 0.0159 CLM
HG01284 HG01284 0 1 -0.0083 0.0158 CLM
HG01286 HG01286 0 1 -0.0003 0.0141 PUR
HG01302 HG01302 0 1 -0.0060 0.0158 PUR
HG01303 HG01303 0 1 -0.0061 0.0153 PUR
HG01305 HG01305 0 1 -0.0038 0.0152 PUR
HG01308 HG01308 0 1 -0.0002 0.0136 PUR
HG01311 HG01311 0 1 -0.0063 0.0202 PUR
HG01312 HG01312 0 1 -0.0051 0.0190 PUR
HG01323 HG01323 0 1 -0.0060 0.0171 PUR
HG01325 HG01325 0 1 -0.0043 0.0198 PUR
HG01326 HG01326 0 1 -0.0062 0.0174 PUR
HG01334 HG01334 0 1 -0.0107 0.0264 GBR
HG01341 HG01341 0 1 -0.0134 0.0035 CLM
HG01342 HG01342 0 1 0.0053 0.0071 CLM
HG01344 HG01344 0 1 -0.0107 0.0104 CLM
HG01345 HG01345 0 1 -0.0086 0.0171 CLM
HG01348 HG01348 0 1 -0.0104 0.0102 CLM
HG01350 HG01350 0 1 -0.0094 0.0088 CLM
HG01351 HG01351 0 1 -0.0109 0.0160 CLM
HG01353 HG01353 0 1 -0.0095 0.0191 CLM
HG01354 HG01354 0 1 -0.0101 0.0202 CLM
HG01356 HG01356 0 1 -0.0089 0.0138 CLM
HG01357 HG01357 0 1 -0.0111 0.0148 CLM
HG01359 HG01359 0 1 -0.0096 0.0153 CLM
HG01360 HG01360 0 1 -0.0085 0.0161 CLM
HG01362 HG01362 0 1 -0.0059 0.0135 CLM
HG01363 HG01363 0 1 -0.0037 0.0084 CLM
HG01365 HG01365 0 1 -0.0053 0.0119 CLM
HG01366 HG01366 0 1 -0.0067 0.0128 CLM
HG01369 HG01369 0 1 -0.0071 0.0029 CLM
HG01372 HG01372 0 1 -0.0101 0.0137 CLM
HG01374 HG01374 0 1 -0.0108 0.0177 CLM
HG01375 HG01375 0 1 -0.0052 0.0113 CLM
HG01377 HG01377 0 1 -0.0073 0.0121 CLM
HG01378 HG01378 0 1 -0.0102 0.0106 CLM
HG01383 HG01383 0 1 -0.0099 0.0167 CLM
HG01384 HG01384 0 1 -0.0086 0.0165 CLM
HG01390 HG01390 0 1 0.0010 0.0066 CLM
HG01392 HG01392 0 1 -0.0034 0.0149 PUR
HG01393 HG01393 0 1 -0.0011 0.0143 PUR
HG01395 HG01395 0 1 -0.0070 0.0203 PUR
HG01396 HG01396 0 1 -0.0030 0.0135 PUR
HG01398 HG01398 0 1 -0.0033 0.0163 PUR
HG01402 HG01402 0 1 -0.0036 0.0143 PUR
HG01403 HG01403 0 1 -0.0032 0.0138 PUR
HG01405 HG01405 0 1 -0.0061 0.0198 PUR
HG01412 HG01412 0 1 -0.0072 0.0157 PUR
HG01413 HG01413 0 1 -0.0049 0.0151 PUR
HG01414 HG01414 0 1 -0.0045 0.0160 PUR
HG01431 HG01431 0 1 -0.0067 0.0133 CLM
HG01432 HG01432 0 1 -0.0100 0.0166 CLM
HG01435 HG01435 0 1 -0.0112 0.0053 CLM
HG01437 HG01437 0 1 -0.0099 0.0221 CLM
HG01440 HG01440 0 1 -0.0033 0.0133 CLM
HG01441 HG01441 0 1 -0.0113 0.0091 CLM
HG01443 HG01443 0 1 -0.0117 0.0038 CLM
HG01444 HG01444 0 1 -0.0074 0.0128 CLM
HG01447 HG01447 0 1 -0.0083 0.0147 CLM
HG01455 HG01455 0 1 -0.0110 0.0099 CLM
HG01456 HG01456 0 1 -0.0099 0.0099 CLM
HG01459 HG01459 0 1 -0.0100 0.0100 CLM
HG01461 HG01461 0 1 -0.0043 0.0061 CLM
HG01462 HG01462 0 1 0.0009 0.0043 CLM
HG01464 HG01464 0 1 -0.0030 0.0080 CLM
HG01465 HG01465 0 1 -0.0102 0.0195 CLM
HG01474 HG01474 0 1 -0.0100 0.0214 CLM
HG01479 HG01479 0 1 -0.0088 0.0223 CLM
HG01485 HG01485 0 1 0.0044 0.0044 CLM
